(奉俊昊, 执导, 寄生虫)
(寄生虫, 讲述, 住在廉价的半地下室出租房里的一家四口)
(寄生虫, 获得, 第72届戛纳国际电影节金棕榈奖)
(寄生虫, 获得, 最佳导演奖)
(寄生虫, 创造, 历史)
(极速车王, 改编, 自A|J贝米的纪实小说地狱驾驶福特|法拉利和勒芒耐力赛|讲述了几个伙伴一起经营福特公司最终成为第一支勒芒耐力赛冠军车队的故事|2)
(马丁·斯科塞斯, 执导, 爱尔兰人)
(爱尔兰人, 获, 第85届纽约影评人协会奖|NYFCC最佳影片)
(爱尔兰人, 入围, 最佳视觉效果奖提名名单)
(爱尔兰人, 入围, 最佳视觉效果奖提名名单)
(乔乔的异想世界故事, 设定在, 二战时期)
(托德·菲利普斯, 执导, 小丑)
(小丑的故事背景, 设定在, 1980年代)
(小丑所独立的|开发影片, 扩展, 宇宙)
(小丑所独立的|开发影片, 无, 关联)
(小丑全球票房, 超过, 9.57亿美元)
(小丑全球票房, 成为, 影史上最赚钱的漫改电影|8-9)
(格蕾塔·葛韦格, 执导, 小妇人)
(西尔莎·罗南|艾玛·沃特森佛罗伦斯·珀伊莱扎·斯坎伦劳拉·邓恩提莫西·查拉梅联袂主演的剧情片, 上映, 小妇人)
(小妇人, 获得, 最佳服装设计奖)
(诺亚·鲍姆巴赫, 执导, 婚姻故事)
(亚当·德赖弗|斯嘉丽·约翰逊主演的剧情片, 首映, 婚姻故事)
(婚姻故事, 讲述, 戏剧导演查理|和女演员妮可因为导致彼此渐行远|两人决定离婚的故事|4)
(戏剧导演, 查理, 妮)
(萨姆·门德斯, 执导, 1917由美国梦工厂出品的战争片)
(乔治·麦凯|迪恩查尔斯·查普曼, 领衔, 1917由美国梦工厂出品的战争片)
(美国哥伦比亚影片公司, 出品, 好莱坞往事)
(昆汀·塔伦蒂诺, 执导, 好莱坞往事由美国哥伦比亚影片公司出品的犯罪片)
(莱昂纳多·迪卡普里奥|布拉德·皮特玛格特·罗比, 联合, 好莱坞往事由美国哥伦比亚影片公司出品的犯罪片)
